place_loc,place_name
"{'lat': -7.283760699999999, 'lng': 112.7963187}",Laboratory Instrumentation and Control Engineering
"{'lat': -7.283877099999999, 'lng': 112.7963911}",Neo WS Laboratory
"{'lat': -7.283972200000002, 'lng': 112.7964582}",Laboratorium Pengindraan Visual
"{'lat': -7.2840889, 'lng': 112.7964669}",S2 Teknik Fisika ITS
"{'lat': -7.284116699999999, 'lng': 112.7963968}",Lab Telekomunikasi A205
"{'lat': -7.2842, 'lng': 112.796678}",Markas ITS Team Sapuangin
"{'lat': -7.2838508, 'lng': 112.797455}",Auditorium Sinar Mas - Teknik Industri (ITS)
"{'lat': -7.284390900000002, 'lng': 112.7967646}",Teknik Mesin ITS
"{'lat': -7.284488499999997, 'lng': 112.7967078}",Lembaga Bengkel Mahasiswa Mesin (LBMM)
"{'lat': -7.284488800000002, 'lng': 112.7964372}",Musholla Teknik Mesin
"{'lat': -7.2845681, 'lng': 112.7966352}",TAMAN MESIN FTI-ITS
"{'lat': -7.2851611, 'lng': 112.7972897}",Gedung Jurusan Teknik Material dan Metalurgi
"{'lat': -7.284669200000001, 'lng': 112.7965497}",Laboratorium Metalurgi Departemen Teknik Mesin ITS
"{'lat': -7.284532199999999, 'lng': 112.7968727}",Parkir Motor Teknik Mesin
"{'lat': -7.2848396, 'lng': 112.7965223}",Sekretariat Evolty ITS
"{'lat': -7.284904000000001, 'lng': 112.7965879}",Departemen Teknik Komputer FTE ITS
"{'lat': -7.2849027, 'lng': 112.7965128}",Himatektro Secretariat
"{'lat': -7.284938599999999, 'lng': 112.7966171}",Elektro Budoyo
"{'lat': -7.284947900000001, 'lng': 112.7964495}",Teknik Biomedik
"{'lat': -7.284554499999999, 'lng': 112.7971572}",Parkir Motor II Teknik Mesin
"{'lat': -7.285378600000001, 'lng': 112.7971606}",Faculty of Industrial Technology
"{'lat': -7.2842509, 'lng': 112.7971827}",Parkir Mobil Teknik Mesin
"{'lat': -7.2849238, 'lng': 112.7971866}",Lapangan Voli Teknik Material dan Metalurgi
"{'lat': -7.284388000000001, 'lng': 112.797592}",Workshop FTI Techno Square
"{'lat': -7.2843605, 'lng': 112.7976325}",FTI Techno Square (FTI TOS)
"{'lat': -7.284196, 'lng': 112.7976595}",Lapangan Olahraga
"{'lat': -7.283600999999999, 'lng': 112.7973802}",Departemen Teknik Industri FTI ITS
"{'lat': -7.283928899999999, 'lng': 112.7974235}",Lantai 6 Teknik Industri ITS
"{'lat': -7.2836609, 'lng': 112.7974315}",Laboratorium Sistem Manufaktur Teknik Industri ITS
"{'lat': -7.2835192, 'lng': 112.7974499}",Auditorium Jurusan Teknik Industri ITS
"{'lat': -7.2834427, 'lng': 112.7976685}",Gedung Baru JTI
